horizon,response,shock,irf
21,Y1,Y10,-0.0
21,Y3,Repo,0.0
21,Y3,Y1,0.0
21,Y3,Y3,0.0
21,Y3,Y5,-0.0
21,Y3,Y10,-0.0
21,Y5,Repo,0.0
21,Y5,Y1,0.0
21,Y5,Y3,0.0
21,Y5,Y5,-0.0
21,Y5,Y10,-0.0
21,Y10,Repo,0.0
21,Y10,Y1,0.0
21,Y10,Y3,0.0
21,Y10,Y5,-0.0
21,Y10,Y10,-0.0
22,Repo,Repo,0.0
22,Repo,Y1,0.0
22,Repo,Y3,0.0
22,Repo,Y5,-0.0
22,Repo,Y10,-0.0
22,Y1,Repo,0.0
22,Y1,Y1,0.0
22,Y1,Y3,0.0
22,Y1,Y5,-0.0
22,Y1,Y10,-0.0
22,Y3,Repo,0.0
22,Y3,Y1,0.0
22,Y3,Y3,0.0
22,Y3,Y5,-0.0
22,Y3,Y10,-0.0
22,Y5,Repo,0.0
22,Y5,Y1,0.0
22,Y5,Y3,0.0
22,Y5,Y5,0.0
22,Y5,Y10,-0.0
22,Y10,Repo,0.0
22,Y10,Y1,0.0
22,Y10,Y3,0.0
22,Y10,Y5,0.0
22,Y10,Y10,-0.0
23,Repo,Repo,0.0
23,Repo,Y1,0.0
23,Repo,Y3,0.0
23,Repo,Y5,-0.0
23,Repo,Y10,-0.0
23,Y1,Repo,0.0
23,Y1,Y1,0.0
23,Y1,Y3,0.0
23,Y1,Y5,-0.0
23,Y1,Y10,-0.0
23,Y3,Repo,0.0
23,Y3,Y1,0.0
23,Y3,Y3,0.0
23,Y3,Y5,-0.0
23,Y3,Y10,-0.0
23,Y5,Repo,0.0
23,Y5,Y1,0.0
23,Y5,Y3,0.0
23,Y5,Y5,-0.0
23,Y5,Y10,-0.0
23,Y10,Repo,0.0
23,Y10,Y1,0.0
23,Y10,Y3,0.0
23,Y10,Y5,-0.0
23,Y10,Y10,-0.0
24,Repo,Repo,0.0
24,Repo,Y1,0.0
24,Repo,Y3,0.0
24,Repo,Y5,-0.0
24,Repo,Y10,-0.0
24,Y1,Repo,0.0
24,Y1,Y1,0.0
24,Y1,Y3,0.0
24,Y1,Y5,-0.0
24,Y1,Y10,-0.0
24,Y3,Repo,0.0
24,Y3,Y1,0.0
24,Y3,Y3,0.0
24,Y3,Y5,-0.0
24,Y3,Y10,-0.0
24,Y5,Repo,0.0
24,Y5,Y1,0.0
24,Y5,Y3,0.0
24,Y5,Y5,0.0
24,Y5,Y10,-0.0
24,Y10,Repo,0.0
24,Y10,Y1,0.0
24,Y10,Y3,0.0
24,Y10,Y5,0.0
24,Y10,Y10,-0.0
