horizon,response,shock,irf,ci_lo,ci_hi
21,Repo,Y3,0.0,-0.0,0.0
21,Repo,Y5,-0.0,-0.0,0.0
21,Repo,Y10,-0.0,-0.0,0.0
21,Y1,Repo,0.0,-0.0,0.0
21,Y1,Y1,0.0,-0.0,0.0
21,Y1,Y3,0.0,-0.0,0.0
21,Y1,Y5,-0.0,-0.0,0.0
21,Y1,Y10,-0.0,-0.0,0.0
21,Y3,Repo,0.0,-0.0,0.0
21,Y3,Y1,0.0,-0.0,0.0
21,Y3,Y3,0.0,-0.0,0.0
21,Y3,Y5,-0.0,-0.0,0.0
21,Y3,Y10,-0.0,-0.0,0.0
